Cell_ID,Year,Forest_Loss_ha
G25_000000,2001,0.0
G25_000001,2001,0.0
G25_000002,2001,0.0
G25_000003,2001,0.0
G25_000004,2001,0.0
G25_000005,2001,0.0
G25_000006,2001,0.0
G25_000007,2001,0.0
G25_000008,2001,0.0
G25_000009,2001,0.0
G25_000010,2001,0.0
G25_000011,2001,0.0
G25_000012,2001,0.0
G25_000013,2001,0.0
G25_000014,2001,0.0
G25_000015,2001,0.0
G25_000016,2001,0.0
G25_000017,2001,0.0
G25_000018,2001,0.0
G25_000019,2001,0.0
G25_000020,2001,0.0
G25_000021,2001,0.0
G25_000022,2001,0.0
G25_000023,2001,0.0
G25_000024,2001,0.0
G25_000025,2001,0.0
G25_000026,2001,0.0
G25_000027,2001,0.0
G25_000028,2001,0.0
G25_000029,2001,0.0
G25_000030,2001,0.0
G25_000031,2001,0.0
G25_000032,2001,0.0
G25_000033,2001,0.0
G25_000034,2001,0.0
G25_000035,2001,0.0
G25_000036,2001,0.0
G25_000037,2001,0.0
G25_000038,2001,0.0
G25_000039,2001,0.0
G25_000040,2001,0.0
G25_000041,2001,0.0
G25_000042,2001,0.0
G25_000043,2001,0.0
G25_000044,2001,0.0
G25_000045,2001,0.0
G25_000046,2001,0.0
G25_000047,2001,0.0
G25_000048,2001,0.0
G25_000049,2001,0.0
G25_000050,2001,0.0
G25_000051,2001,0.0
G25_000052,2001,0.0
G25_000053,2001,0.0
G25_000054,2001,0.0
G25_000055,2001,0.0
G25_000056,2001,0.0
G25_000057,2001,0.0
G25_000058,2001,0.0
G25_000059,2001,0.0
G25_000060,2001,0.0
G25_000061,2001,0.0
G25_000062,2001,0.0
G25_000063,2001,0.0
G25_000064,2001,0.0
G25_000065,2001,0.0
G25_000066,2001,0.0
G25_000067,2001,0.0
G25_000068,2001,0.0
G25_000069,2001,0.0
G25_000070,2001,0.0
G25_000071,2001,0.0
G25_000072,2001,0.0
G25_000073,2001,0.0
G25_000074,2001,0.0
G25_000075,2001,0.0
G25_000076,2001,0.0
G25_000077,2001,0.0
G25_000078,2001,0.0
G25_000079,2001,0.0
G25_000080,2001,0.0
G25_000081,2001,0.0
G25_000082,2001,0.0
G25_000083,2001,0.0
G25_000084,2001,0.0
G25_000085,2001,0.0
G25_000086,2001,0.0
G25_000087,2001,0.0
G25_000088,2001,0.0
G25_000089,2001,0.0
G25_000090,2001,0.0
G25_000091,2001,0.0
G25_000092,2001,0.0
G25_000093,2001,0.0
G25_000094,2001,0.0
G25_000095,2001,0.0
G25_000096,2001,0.0
G25_000097,2001,0.0
G25_000098,2001,0.0
G25_000099,2001,0.0
G25_000100,2001,0.0
G25_000101,2001,0.0
G25_000102,2001,0.0
G25_000103,2001,0.0
G25_000104,2001,0.0
G25_000105,2001,0.0
G25_000106,2001,0.0
G25_000107,2001,0.0
G25_000108,2001,0.0
G25_000109,2001,0.0
G25_000110,2001,0.0
G25_000111,2001,0.0
G25_000112,2001,0.0
G25_000113,2001,0.0
G25_000114,2001,0.0
G25_000115,2001,0.0
G25_000116,2001,0.0
G25_000117,2001,0.0
G25_000118,2001,0.0
G25_000119,2001,0.0
G25_000120,2001,0.0
G25_000121,2001,0.0
G25_000122,2001,0.0
G25_000123,2001,0.0
G25_000124,2001,0.0
G25_000125,2001,0.0
G25_000126,2001,0.0
G25_000127,2001,0.0
G25_000128,2001,0.0
G25_000129,2001,0.0
G25_000130,2001,0.0
G25_000131,2001,0.0
G25_000132,2001,0.0
G25_000133,2001,0.0
G25_000134,2001,0.0
G25_000135,2001,0.0
G25_000136,2001,0.0
G25_000137,2001,0.0
G25_000138,2001,0.0
G25_000139,2001,0.0
G25_000140,2001,0.0
G25_000141,2001,0.0
G25_000142,2001,0.0
G25_000143,2001,0.0
G25_000144,2001,0.0
G25_000145,2001,0.0
G25_000146,2001,0.0
G25_000147,2001,0.0
G25_000148,2001,0.0
G25_000149,2001,0.0
G25_000150,2001,0.0
G25_000151,2001,0.0
G25_000152,2001,0.0
