Cell_ID,Year,Forest_Loss_ha,Forest_Loss_ha
G25_000186,2009,0.0,0.0
G25_000187,2009,0.0,0.0
G25_000188,2009,0.0,0.0
G25_000189,2009,0.0,0.0
G25_000190,2009,0.0,0.0
G25_000191,2009,0.0,0.0
G25_000192,2009,0.0,0.0
G25_000193,2009,0.0,0.0
G25_000194,2009,0.0,0.0
G25_000195,2009,0.0,0.0
G25_000196,2009,0.0,0.0
G25_000197,2009,0.0,0.0
G25_000198,2009,0.0,0.0
G25_000199,2009,0.0,0.0
G25_000200,2009,0.0,0.0
G25_000201,2009,0.0,0.0
G25_000202,2009,0.0,0.0
G25_000203,2009,0.0,0.0
G25_000204,2009,0.0,0.0
G25_000205,2009,0.0,0.0
G25_000206,2009,0.0,0.0
G25_000207,2009,0.0,0.0
G25_000208,2009,0.0,0.0
G25_000209,2009,0.0,0.0
G25_000210,2009,0.0,0.0
G25_000211,2009,0.0,0.0
G25_000212,2009,0.0,0.0
G25_000213,2009,0.0,0.0
G25_000214,2009,0.0,0.0
G25_000215,2009,0.0,0.0
G25_000216,2009,0.0,0.0
G25_000217,2009,0.0,0.0
G25_000218,2009,0.0,0.0
G25_000219,2009,0.0,0.0
G25_000220,2009,0.0,0.0
G25_000221,2009,0.0,0.0
G25_000222,2009,0.0,0.0
G25_000223,2009,0.0,0.0
G25_000224,2009,0.0,0.0
G25_000225,2009,0.0,0.0
G25_000226,2009,0.0,0.0
G25_000227,2009,0.0,0.0
G25_000228,2009,0.0,0.0
G25_000229,2009,0.0,0.0
G25_000230,2009,0.0,0.0
G25_000231,2009,0.0,0.0
G25_000232,2009,0.0,0.0
G25_000233,2009,0.0,0.0
G25_000234,2009,0.0,0.0
G25_000235,2009,0.0,0.0
G25_000236,2009,0.0,0.0
G25_000237,2009,0.0,0.0
G25_000238,2009,0.0,0.0
G25_000239,2009,0.0,0.0
G25_000240,2009,0.0,0.0
G25_000241,2009,0.0,0.0
G25_000242,2009,0.0,0.0
G25_000243,2009,0.0,0.0
G25_000244,2009,0.0,0.0
G25_000245,2009,0.0,0.0
G25_000246,2009,0.0,0.0
G25_000247,2009,0.0,0.0
G25_000248,2009,0.0,0.0
G25_000249,2009,0.0,0.0
G25_000250,2009,0.0,0.0
G25_000251,2009,0.0,0.0
G25_000252,2009,0.0,0.0
G25_000253,2009,0.0,0.0
G25_000254,2009,0.0,0.0
G25_000255,2009,0.0,0.0
G25_000256,2009,0.0,0.0
G25_000257,2009,0.0,0.0
G25_000258,2009,0.0,0.0
G25_000259,2009,0.0,0.0
G25_000260,2009,0.0,0.0
G25_000261,2009,0.0,0.0
G25_000262,2009,0.0,0.0
G25_000263,2009,0.0,0.0
G25_000264,2009,0.0,0.0
G25_000265,2009,0.0,0.0
G25_000266,2009,0.0,0.0
G25_000267,2009,0.0,0.0
G25_000268,2009,0.0,0.0
G25_000269,2009,0.0,0.0
G25_000270,2009,0.0,0.0
G25_000271,2009,0.0,0.0
G25_000272,2009,0.0,0.0
G25_000273,2009,0.0,0.0
G25_000274,2009,0.0,0.0
G25_000275,2009,0.0,0.0
G25_000276,2009,0.0,0.0
G25_000277,2009,0.0,0.0
G25_000278,2009,0.0,0.0
G25_000279,2009,0.0,0.0
G25_000280,2009,0.0,0.0
G25_000281,2009,0.0,0.0
G25_000282,2009,0.0,0.0
G25_000283,2009,0.0,0.0
G25_000284,2009,0.0,0.0
G25_000285,2009,0.0,0.0
G25_000286,2009,0.0,0.0
G25_000287,2009,0.0,0.0
G25_000288,2009,0.0,0.0
G25_000289,2009,0.0,0.0
G25_000290,2009,0.0,0.0
G25_000291,2009,0.0,0.0
G25_000292,2009,0.0,0.0
G25_000293,2009,0.0,0.0
G25_000294,2009,0.0,0.0
G25_000295,2009,0.0,0.0
G25_000296,2009,0.0,0.0
G25_000297,2009,0.0,0.0
G25_000298,2009,0.0,0.0
G25_000299,2009,0.0,0.0
G25_000300,2009,0.0,0.0
G25_000301,2009,0.0,0.0
G25_000302,2009,0.0,0.0
G25_000303,2009,0.0,0.0
