Cell_ID,Year,Baseline_Forest_ha
G25_000000,2000,0.0
G25_000001,2000,0.0
G25_000002,2000,0.0
G25_000003,2000,0.0
G25_000004,2000,0.0725911743164062
G25_000005,2000,0.0
G25_000006,2000,0.0
G25_000007,2000,0.0
G25_000008,2000,0.0727431213378906
G25_000009,2000,0.0
G25_000010,2000,0.0
G25_000011,2000,0.0
G25_000012,2000,0.0
G25_000013,2000,0.0
G25_000014,2000,0.1178536939912683
G25_000015,2000,6.342110209386486
G25_000016,2000,0.0
G25_000017,2000,0.0
G25_000018,2000,0.0
G25_000019,2000,0.0
G25_000020,2000,0.0
G25_000021,2000,0.0
G25_000022,2000,0.0
G25_000023,2000,0.0
G25_000024,2000,0.0
G25_000025,2000,0.0
G25_000026,2000,0.0
G25_000027,2000,0.0
G25_000028,2000,0.0
G25_000029,2000,0.072550341796875
G25_000030,2000,0.0
G25_000031,2000,0.0
G25_000032,2000,0.0
G25_000033,2000,0.0
G25_000034,2000,0.0
G25_000035,2000,0.0
G25_000036,2000,0.0
G25_000037,2000,0.0
G25_000038,2000,0.0
G25_000039,2000,0.0
G25_000040,2000,0.0
G25_000041,2000,0.0
G25_000042,2000,2.033925549316406
G25_000043,2000,0.0
G25_000044,2000,0.0
G25_000045,2000,0.508054638671875
G25_000046,2000,0.0
G25_000047,2000,0.0
G25_000048,2000,0.0725062744140625
G25_000049,2000,0.0
G25_000050,2000,0.0
G25_000051,2000,0.0
G25_000052,2000,0.0
G25_000053,2000,0.0
G25_000054,2000,0.0
G25_000055,2000,0.0
G25_000056,2000,0.0
G25_000057,2000,0.0
G25_000058,2000,0.0
G25_000059,2000,0.0
G25_000060,2000,0.0
G25_000061,2000,0.0
G25_000062,2000,2.268521142578125
G25_000063,2000,0.6774615655158548
G25_000064,2000,1.6696703613281247
G25_000065,2000,2.3893339455997245
G25_000066,2000,0.0
G25_000067,2000,0.0
G25_000068,2000,0.0
G25_000069,2000,0.1449882934570312
G25_000070,2000,0.0
G25_000071,2000,0.0
G25_000072,2000,0.0
G25_000073,2000,0.0
G25_000074,2000,0.0
G25_000075,2000,0.0
G25_000076,2000,0.0
G25_000077,2000,0.0
G25_000078,2000,0.0
G25_000079,2000,0.0
G25_000080,2000,0.0
G25_000081,2000,0.0
G25_000082,2000,0.0
G25_000083,2000,0.0
G25_000084,2000,0.3940553873697917
G25_000085,2000,0.0
G25_000086,2000,0.8036471146407781
G25_000087,2000,2.452929649514591
G25_000088,2000,1.2466728724101943
G25_000089,2000,0.0
G25_000090,2000,0.6524153259277344
G25_000091,2000,0.5988342930453431
G25_000092,2000,0.0
G25_000093,2000,0.0
G25_000094,2000,0.0
G25_000095,2000,0.0
G25_000096,2000,0.0
G25_000097,2000,0.0
G25_000098,2000,0.0
G25_000099,2000,0.0
G25_000100,2000,5.016246807693777
G25_000101,2000,1.962799197686887
G25_000102,2000,0.0
G25_000103,2000,0.0
G25_000104,2000,0.0
G25_000105,2000,0.0
G25_000106,2000,0.0
G25_000107,2000,0.0
G25_000108,2000,0.290183740234375
G25_000109,2000,0.6521524346804151
G25_000110,2000,0.7976025634765624
G25_000111,2000,0.0
G25_000112,2000,0.4155112938017004
G25_000113,2000,0.0
G25_000114,2000,0.0
G25_000115,2000,0.0
G25_000116,2000,0.0
G25_000117,2000,0.0
G25_000118,2000,0.0
G25_000119,2000,1.163648193359375
G25_000120,2000,0.4362841430664063
G25_000121,2000,3.3704353178136497
G25_000122,2000,2.5889418864889713
G25_000123,2000,4.72181975708008
G25_000124,2000,0.2179083618164062
G25_000125,2000,0.0
G25_000126,2000,0.0
G25_000127,2000,0.0
