Cell_ID,Year,Forest_Loss_ha
G25_000000,2012,0.0
G25_000001,2012,0.0
G25_000002,2012,0.0
G25_000003,2012,0.0
G25_000004,2012,0.0
G25_000005,2012,0.0
G25_000006,2012,0.0
G25_000007,2012,0.0
G25_000008,2012,0.0
G25_000009,2012,0.0
G25_000010,2012,0.0
G25_000011,2012,0.0
G25_000012,2012,0.0
G25_000013,2012,0.0
G25_000014,2012,0.0
G25_000015,2012,0.0
G25_000016,2012,0.0
G25_000017,2012,0.0
G25_000018,2012,0.0
G25_000019,2012,0.0
G25_000020,2012,0.0
G25_000021,2012,0.0
G25_000022,2012,0.0
G25_000023,2012,0.0
G25_000024,2012,0.0
G25_000025,2012,0.0
G25_000026,2012,0.0
G25_000027,2012,0.0
G25_000028,2012,0.0
G25_000029,2012,0.0
G25_000030,2012,0.0
G25_000031,2012,0.0
G25_000032,2012,0.0
G25_000033,2012,0.0
G25_000034,2012,0.0
G25_000035,2012,0.0
G25_000036,2012,0.0
G25_000037,2012,0.0
G25_000038,2012,0.0
G25_000039,2012,0.0
G25_000040,2012,0.0
G25_000041,2012,0.0
G25_000042,2012,0.0
G25_000043,2012,0.0
G25_000044,2012,0.0
G25_000045,2012,0.0
G25_000046,2012,0.0
G25_000047,2012,0.0
G25_000048,2012,0.0
G25_000049,2012,0.0
G25_000050,2012,0.0
G25_000051,2012,0.0
G25_000052,2012,0.0
G25_000053,2012,0.0
G25_000054,2012,0.0
G25_000055,2012,0.0
G25_000056,2012,0.0
G25_000057,2012,0.0
G25_000058,2012,0.0
G25_000059,2012,0.0
G25_000060,2012,0.0
G25_000061,2012,0.0
G25_000062,2012,0.0
G25_000063,2012,0.0
G25_000064,2012,0.0
G25_000065,2012,0.0
G25_000066,2012,0.0
G25_000067,2012,0.0
G25_000068,2012,0.0
G25_000069,2012,0.0
G25_000070,2012,0.0
G25_000071,2012,0.0
G25_000072,2012,0.0
G25_000073,2012,0.0
G25_000074,2012,0.0
G25_000075,2012,0.0
G25_000076,2012,0.0
G25_000077,2012,0.0
G25_000078,2012,0.0
G25_000079,2012,0.0
G25_000080,2012,0.0
G25_000081,2012,0.0
G25_000082,2012,0.0
G25_000083,2012,0.0
G25_000084,2012,0.0
G25_000085,2012,0.0
G25_000086,2012,0.0
G25_000087,2012,0.0
G25_000088,2012,0.0
G25_000089,2012,0.0
G25_000090,2012,0.0
G25_000091,2012,0.0
G25_000092,2012,0.0
G25_000093,2012,0.0
G25_000094,2012,0.0
G25_000095,2012,0.0
G25_000096,2012,0.0
G25_000097,2012,0.0
G25_000098,2012,0.0
G25_000099,2012,0.0
G25_000100,2012,0.0
G25_000101,2012,0.0
G25_000102,2012,0.0
G25_000103,2012,0.0
G25_000104,2012,0.0
G25_000105,2012,0.0
G25_000106,2012,0.0
G25_000107,2012,0.0
G25_000108,2012,0.0
G25_000109,2012,0.0
G25_000110,2012,0.0
G25_000111,2012,0.0
G25_000112,2012,0.0
G25_000113,2012,0.0
G25_000114,2012,0.0
G25_000115,2012,0.0
G25_000116,2012,0.0
G25_000117,2012,0.0
G25_000118,2012,0.0
G25_000119,2012,0.0
G25_000120,2012,0.0
G25_000121,2012,0.0
G25_000122,2012,0.0
G25_000123,2012,0.0
G25_000124,2012,0.0
G25_000125,2012,0.0
G25_000126,2012,0.0
G25_000127,2012,0.0
G25_000128,2012,0.0
G25_000129,2012,0.0
G25_000130,2012,0.0
G25_000131,2012,0.0
G25_000132,2012,0.0
G25_000133,2012,0.0
G25_000134,2012,0.0
G25_000135,2012,0.0
G25_000136,2012,0.0
G25_000137,2012,0.0
G25_000138,2012,0.0
G25_000139,2012,0.0
G25_000140,2012,0.0
G25_000141,2012,0.0
G25_000142,2012,0.0
G25_000143,2012,0.0
G25_000144,2012,0.0
G25_000145,2012,0.0
G25_000146,2012,0.0
G25_000147,2012,0.0
G25_000148,2012,0.0
G25_000149,2012,0.0
G25_000150,2012,0.0
G25_000151,2012,0.0
G25_000152,2012,0.0
G25_000153,2012,0.0
G25_000154,2012,0.0
G25_000155,2012,0.0
G25_000156,2012,0.0
G25_000157,2012,0.0
G25_000158,2012,0.0
G25_000159,2012,0.0
G25_000160,2012,0.0
G25_000161,2012,0.0
G25_000162,2012,0.0
G25_000163,2012,0.0
G25_000164,2012,0.0
G25_000165,2012,0.0
G25_000166,2012,0.0
G25_000167,2012,0.0
G25_000168,2012,0.0
G25_000169,2012,0.0
G25_000170,2012,0.0
G25_000171,2012,0.0
G25_000172,2012,0.0
G25_000173,2012,0.0
G25_000174,2012,0.0
G25_000175,2012,0.0
G25_000176,2012,0.0
G25_000177,2012,0.0
G25_000178,2012,0.0
G25_000179,2012,0.0
G25_000180,2012,0.0
G25_000181,2012,0.0
G25_000182,2012,0.0
G25_000183,2012,0.0
G25_000184,2012,0.0
G25_000185,2012,0.0
G25_000186,2012,0.0
G25_000187,2012,0.0
G25_000188,2012,0.0
G25_000189,2012,0.0
G25_000190,2012,0.0
G25_000191,2012,0.0
G25_000192,2012,0.0
G25_000193,2012,0.0
G25_000194,2012,0.0
G25_000195,2012,0.0
G25_000196,2012,0.0
G25_000197,2012,0.0
G25_000198,2012,0.0
G25_000199,2012,0.0
G25_000200,2012,0.0
G25_000201,2012,0.0
G25_000202,2012,0.0
G25_000203,2012,0.0
G25_000204,2012,0.0
G25_000205,2012,0.0
G25_000206,2012,0.0
G25_000207,2012,0.0
G25_000208,2012,0.0
G25_000209,2012,0.0
G25_000210,2012,0.0
G25_000211,2012,0.0
G25_000212,2012,0.0
G25_000213,2012,0.0
G25_000214,2012,0.0
G25_000215,2012,0.0
G25_000216,2012,0.0
G25_000217,2012,0.0
G25_000218,2012,0.0
G25_000219,2012,0.0
G25_000220,2012,0.0
G25_000221,2012,0.0
G25_000222,2012,0.0
G25_000223,2012,0.0
G25_000224,2012,0.0
G25_000225,2012,0.0
G25_000226,2012,0.0
G25_000227,2012,0.0
G25_000228,2012,0.0
G25_000229,2012,0.0
G25_000230,2012,0.0
G25_000231,2012,0.0
G25_000232,2012,0.0
G25_000233,2012,0.0
G25_000234,2012,0.0
