Cell_ID,Year,Forest_Loss_ha
G25_000000,2008,0.0
G25_000001,2008,0.0
G25_000002,2008,0.0
G25_000003,2008,0.0
G25_000004,2008,0.0
G25_000005,2008,0.0
G25_000006,2008,0.0
G25_000007,2008,0.0
G25_000008,2008,0.0
G25_000009,2008,0.0
G25_000010,2008,0.0
G25_000011,2008,0.0
G25_000012,2008,0.0
G25_000013,2008,0.0
G25_000014,2008,0.0
G25_000015,2008,0.0
G25_000016,2008,0.0
G25_000017,2008,0.0
G25_000018,2008,0.0
G25_000019,2008,0.0
G25_000020,2008,0.0
G25_000021,2008,0.0
G25_000022,2008,0.0
G25_000023,2008,0.0
G25_000024,2008,0.0
G25_000025,2008,0.0
G25_000026,2008,0.0
G25_000027,2008,0.0
G25_000028,2008,0.0
G25_000029,2008,0.0
G25_000030,2008,0.0
G25_000031,2008,0.0
G25_000032,2008,0.0
G25_000033,2008,0.0
G25_000034,2008,0.0
G25_000035,2008,0.0
G25_000036,2008,0.0
G25_000037,2008,0.0
G25_000038,2008,0.0
G25_000039,2008,0.0
G25_000040,2008,0.0
G25_000041,2008,0.0
G25_000042,2008,0.0
G25_000043,2008,0.0
G25_000044,2008,0.0
G25_000045,2008,0.0
G25_000046,2008,0.0
G25_000047,2008,0.0
G25_000048,2008,0.0
G25_000049,2008,0.0
G25_000050,2008,0.0
G25_000051,2008,0.0
G25_000052,2008,0.0
G25_000053,2008,0.0
G25_000054,2008,0.0
G25_000055,2008,0.0
G25_000056,2008,0.0
G25_000057,2008,0.0
G25_000058,2008,0.0
G25_000059,2008,0.0
G25_000060,2008,0.0
G25_000061,2008,0.0
G25_000062,2008,0.0
G25_000063,2008,0.0
G25_000064,2008,0.0
G25_000065,2008,0.0
G25_000066,2008,0.0
G25_000067,2008,0.0
G25_000068,2008,0.0
G25_000069,2008,0.0
G25_000070,2008,0.0
G25_000071,2008,0.0
G25_000072,2008,0.0
G25_000073,2008,0.0
G25_000074,2008,0.0
G25_000075,2008,0.0
G25_000076,2008,0.0
G25_000077,2008,0.0
G25_000078,2008,0.0
G25_000079,2008,0.0
G25_000080,2008,0.0
G25_000081,2008,0.0
G25_000082,2008,0.0
G25_000083,2008,0.0
G25_000084,2008,0.0
G25_000085,2008,0.0
G25_000086,2008,0.0
G25_000087,2008,0.0
G25_000088,2008,0.0
G25_000089,2008,0.0
G25_000090,2008,0.0
G25_000091,2008,0.0
G25_000092,2008,0.0
G25_000093,2008,0.0
G25_000094,2008,0.0
G25_000095,2008,0.0
G25_000096,2008,0.0
