Cell_ID,Year,Forest_Loss_ha
G25_000000,2004,0.0
G25_000001,2004,0.0
G25_000002,2004,0.0
G25_000003,2004,0.0
G25_000004,2004,0.0
G25_000005,2004,0.0
G25_000006,2004,0.0
G25_000007,2004,0.0
G25_000008,2004,0.0
G25_000009,2004,0.0
G25_000010,2004,0.0
G25_000011,2004,0.0
G25_000012,2004,0.0
G25_000013,2004,0.0
G25_000014,2004,0.0
G25_000015,2004,0.0
G25_000016,2004,0.0
G25_000017,2004,0.0
G25_000018,2004,0.0
G25_000019,2004,0.0
G25_000020,2004,0.0
G25_000021,2004,0.0
G25_000022,2004,0.0
G25_000023,2004,0.0
G25_000024,2004,0.0
G25_000025,2004,0.0
G25_000026,2004,0.0
G25_000027,2004,0.0
G25_000028,2004,0.0
G25_000029,2004,0.0
G25_000030,2004,0.0
G25_000031,2004,0.0
G25_000032,2004,0.0
G25_000033,2004,0.0
G25_000034,2004,0.0
G25_000035,2004,0.0
G25_000036,2004,0.0
G25_000037,2004,0.0
G25_000038,2004,0.0
G25_000039,2004,0.0
G25_000040,2004,0.0
G25_000041,2004,0.0
G25_000042,2004,0.0
G25_000043,2004,0.0
G25_000044,2004,0.0
G25_000045,2004,0.0
G25_000046,2004,0.0
G25_000047,2004,0.0
G25_000048,2004,0.0
G25_000049,2004,0.0
G25_000050,2004,0.0
G25_000051,2004,0.0
G25_000052,2004,0.0
G25_000053,2004,0.0
G25_000054,2004,0.0
G25_000055,2004,0.0
G25_000056,2004,0.0
G25_000057,2004,0.0
G25_000058,2004,0.0
G25_000059,2004,0.0
G25_000060,2004,0.0
G25_000061,2004,0.0
G25_000062,2004,0.0
G25_000063,2004,0.0
G25_000064,2004,0.0
G25_000065,2004,0.0
G25_000066,2004,0.0
G25_000067,2004,0.0
G25_000068,2004,0.0
G25_000069,2004,0.0
G25_000070,2004,0.0
G25_000071,2004,0.0
G25_000072,2004,0.0
G25_000073,2004,0.0
G25_000074,2004,0.0
G25_000075,2004,0.0
G25_000076,2004,0.0
G25_000077,2004,0.0
G25_000078,2004,0.0
G25_000079,2004,0.0
G25_000080,2004,0.0
G25_000081,2004,0.0
G25_000082,2004,0.0
G25_000083,2004,0.0
G25_000084,2004,0.0
G25_000085,2004,0.0
